Fruits,potassium,magnesium,vitaminA,carbohydrate,fiber,zinic,calcium
passion-fruit,348(mg),29(mg),65(mcg),23.38(g),10.4(g),0.10(mg),12(mg)
papayas,182(mg),21(mg),47(mcg),10.82(g),1.7(g),0.08(mg),20(mg)
figs,168(mg),10(mg),54(mcg),14.98(g),1.6(g),0.09(mg),26(mg)
mangos,232(mg),17(mg),7(mcg),19.18(g),2.9(g),0.16(mg),11(mg)
grapefruit,135(mg),9(mg),58(mcg),10.66(g),1.6(g),0.07(mg),22(mg)
litchis,171(mg),10(mg),0(mcg),16.53(g),1.3(g),0.07(mg),5(mg)
orange,196(mg,14(mg),13(mcg),15.50(g),4.5(g),0.11(mg),40(mg)
bannana,358(mg),27(mg),3(mcg),22.84(g),2.6(g),0.15(mg),5(mg)
avacados,351(mg),24(mg),7(mcg),7.82(g),5.6(g),0.40(mg),12(mg)
kiwi,312(mg),17(mg),4(mcg),14.66(g),3.0(g),0.14(mg),34(mg)
